degradation,revision,bug,packages,files,issues,insertions,deletions,churns,lines,hunks,hour,day
false,2f458d8cd8a20cba394cf5a2fae6e7fe3da04bd1,false,1,10,1,527,65,592,462,13,20,2
false,2fc6a3957da8b59443afb6e97e849510983a411b,true,1,2,1,17,2,19,15,3,15,1
false,30323a5800834760bcc0fca25bea7f81a3fb0e6d,true,3,4,1,64,5,69,59,9,17,2
false,304e0f427e3e01f182e1f916834a209281127448,false,1,2,1,3,79,82,-76,4,12,2
false,329b9454abeabe947c1ed4b54c496cd7a6eb714f,true,1,1,1,2,2,4,0,1,17,4
false,347301f7eee9f977d5198184dcac028f211a62ee,true,1,1,1,3,1,4,2,1,15,2
false,34c8dce1377631c652f8d39a4f272b865d207ede,false,1,1,1,2,2,4,0,1,13,6
false,34eaca28eb661b51f2937c14f8a48c32b438851d,false,3,6,1,9,11,20,-2,10,12,5
false,360e91bb9cc24913311b914a9413e6f69169e55e,false,2,6,1,496,2,498,494,8,13,4
false,3b288e37ca3b2ebb10e6c9ba4b5e869411cc17a4,false,2,3,1,2,2,4,0,2,11,5
false,3c6c41f19f6d4d9a236a7d902ed62816af41c00b,false,1,1,1,10,6,16,4,4,19,2
false,3cc3fe95cbb3ebd72ff37817dd1860d828181b5e,true,2,3,1,9,2,11,7,4,12,5
false,3da1d656cd4c85efe0919d1a32c33b300ef35490,false,1,1,1,110,95,205,15,1,22,4
false,3e38950a11c5e81477771b4a4963279654958417,true,1,1,1,1,1,2,0,1,19,4
false,3eeba1d369ac534f8af4dd39fc51a3591bf4ddba,false,1,2,1,25,28,53,-3,6,15,5
false,3fc7234ea6ee62617052ade8605c71d7818cbf9b,true,1,2,1,15,7,22,8,2,11,2
false,40f00247875f91ba92cd01e075adb652510c3123,false,1,1,1,19,4,23,15,3,14,4
false,41e71f9de5d84f24b80da12d2c5bd76216a5cf00,true,1,1,1,1,1,2,0,1,15,5
false,4299d74c9c1d7fcc90485af7a8f8e4a4d5c19f5b,true,3,3,3,23,8,31,15,5,12,5
false,446832690758d08d3039b062e50c43f2607dcdc4,false,2,3,1,11,3,14,8,7,16,5
false,449e6d1c33744d66b20e7418a24f535da0fc3cf5,false,1,1,1,24,34,58,-10,2,10,5
false,45024cec5a01373b759f3c3f2a59af69855f5b42,false,1,1,1,5,4,9,1,3,14,6
false,46651a4521167e786ca2b41523588fe5a1d21075,false,41,116,1,289,289,578,0,181,15,6
false,46684ffdf5fa925976e1c10b89b8b754af152b6f,false,1,1,1,32,1,33,31,4,11,4
false,46b99bd34089f76bc924e877bde5f973575062b3,false,3,3,1,54,11,65,43,6,13,6
false,46b9ed395b562a82880ffcc6e6cfc1f01e8b172d,true,1,1,1,21,5,26,16,2,13,2
false,46d768cc2def47c358248bfc7d0afc0b54f36412,true,3,3,1,143,2,145,141,6,12,3
false,46f1835d67fa94392007e8b07c91f218cf954433,false,3,3,1,26,10,36,16,5,17,5
false,47e3b9870b65a86977047691264e39099ef577fa,false,1,1,1,2,2,4,0,1,13,2
false,484415796aab76fc4f635b375cbf2b0cd604457f,false,1,3,1,50,3,53,47,3,10,3
false,4869f24da043b00f0f7d5bd2eea5b9d85aac8d42,true,1,1,1,18,18,36,0,2,16,5
false,4950a773dc7e3d286c67cdc4611f3b9bd2b060af,false,1,5,1,222,85,307,137,11,0,5
false,4a6cfb90b0671b669e631a06240e5ef4d8c995ea,false,1,1,1,30,0,30,30,1,12,3
false,4ab506431371e78ee5d1f5000200c74f89a97a94,true,1,1,1,20,5,25,15,2,12,5
false,4c43ad591c86e26d7b8dd7a3e82913313e7e7fa0,false,1,2,1,3,6,9,-3,4,14,2
false,4cfea09f089f7e1ae859e2bc0be560666409ec7d,false,1,1,1,3,3,6,0,3,16,5
false,4db7a736e7a2550f314eb00a874def76e9f9eb37,false,1,3,1,61,7,68,54,8,13,2
false,4ec4a07fa63ee7540af4352cb9cdb41a85ea1a2f,false,1,4,1,234,46,280,188,13,17,2
false,4f9aa2d95ff064d81c49229b3c94d9c6a959cd36,true,2,2,1,13,2,15,11,2,12,4
false,51864c6e2273bbec2e35988ab5bbf29c6569b77e,false,1,1,1,1,2,3,-1,2,12,5
false,53d9fae5d9886bce65c5e6f360a4294791bd762a,true,1,1,1,45,25,70,20,4,14,4
false,544e4947636c8a584eda3654f73cccb6cead296b,false,1,2,1,12,19,31,-7,5,10,2
false,548233d240e1d9899a856c1aa29df0118d466e66,false,1,1,1,18,2,20,16,3,15,6
false,55c1bc79901e195a20fceadb5469a0c7e2e1a275,false,1,2,1,12,19,31,-7,5,10,2
false,56169634c82a58b2dc5c071fb8f1e80a531eaf56,true,1,2,1,67,1,68,66,3,16,6
false,562d1ee536ebaa07206c90baebdda5280fbf68e3,false,2,4,1,19,13,32,6,10,14,3
false,572df1583add7b8e34aa412e9e554031a74231f0,true,1,1,1,4,0,4,4,1,4,7
