# List of all commits from classes found during the repository mining phase (blamed or not)
103
Revision,Bug Fixing,Author,Date,Number of Packages,Number of Files,Number of Insertions,Number of Deletions,Number of Churns,Delta of Lines,Number of Hunks,Number of Issues,Issues
ad1b70e2fae5a8eb808dbb0fd27caf48ea0710be,false,Martin Tzvetanov Grigorov,Seg 22-Set-2014 10:10:51 +0200,1,1,36,42,78,-6,1,1,0
adcb7a632af8225e86e09e398b8fb5430b143b18,false,svenmeier,Qua 24-Set-2014 22:05:04 +0200,4,9,60,35,95,25,26,1,5350
b590d19bab446b2e8983b36d4f42c71e018d4bcd,false,Martin Tzvetanov Grigorov,Seg 04-Ago-2014 12:12:34 +0200,1,1,9,4,13,5,4,1,5648
b793f99f6b1f5787b5be0b732ddb17baec4c711b,false,Martin Tzvetanov Grigorov,Seg 04-Ago-2014 11:49:23 +0200,1,1,2,2,4,0,1,1,5660
b8382271ed8bcf57157a4b10c02f6a4948e4a35a,true,Martin Tzvetanov Grigorov,Qui 28-Ago-2014 14:17:52 +0300,4,7,27,26,53,1,12,1,5688
b9174eda74c6630db250c902bb222079a0259ced,false,Martin Tzvetanov Grigorov,Seg 14-Jul-2014 10:52:08 +0300,1,1,1,1,2,0,1,1,0
b92591f6496c15bf5615765539017ad702c67a43,true,adelbene,Seg 13-Out-2014 20:07:01 +0200,5,10,155,21,176,134,15,1,5724
b93624f490da2af2df698902a0ca4da797b15014,false,adelbene,Sex 26-Set-2014 17:23:13 +0200,2,2,4,1,5,3,2,1,0
bb9c1044e5f1ba8902aa69073ef9fb236802d277,false,andrea del bene,Qua 16-Jul-2014 19:33:16 +0200,1,1,82,87,169,-5,1,1,0
bfffed1260a37cd6c338c2495a03377c76fe99d8,false,Martin Tzvetanov Grigorov,Ter 12-Ago-2014 12:10:53 +0200,2,5,82,8,90,74,10,1,5673
c24d830cd5dda3f85d305537201f45e57f403c97,true,andrea del bene,Qua 16-Jul-2014 19:29:28 +0200,1,1,7,0,7,7,2,1,5643
c904f73756ac956b60a087d218d4f2845725d26c,false,Martin Tzvetanov Grigorov,Qui 07-Ago-2014 11:38:10 +0200,1,2,104,3,107,101,4,1,5667
c9ac08c8c143a0160d11c34dedf38b7b93beb417,false,svenmeier,Sáb 26-Jul-2014 23:44:00 +0200,15,24,69,65,134,4,61,1,5350
cb4590a27febd29db3bd2939fc3fb6025c4c3691,false,Martin Tzvetanov Grigorov,Ter 12-Ago-2014 10:37:50 +0200,26,37,73,140,213,-67,89,1,5669
d06f84d1b87011e5c152c5fb3f05ae50c1c58cda,true,Jesse Long,Seg 29-Set-2014 23:17:09 +0200,5,10,419,176,595,243,21,1,5698
d106598d4e244122eb330ae84de9cdc6f0ac1413,false,Martin Tzvetanov Grigorov,Qui 02-Out-2014 13:00:16 +0200,1,1,1,0,1,1,1,1,5713
