# List of all commits from classes found during the repository mining phase (blamed or not)
322
revision,authorexpertise,daysbeforerelease,bug,author,date,packages,files,insertions,deletions,churns,deltalines,hunks,issues,listissues
4299d74c9c1d7fcc90485af7a8f8e4a4d5c19f5b,2533,94,true,Martin Tzvetanov Grigorov,Qui 16-Jan-2014 12:41:24 +0200,3,3,23,8,31,15,5,3,5070:5068:5001
446832690758d08d3039b062e50c43f2607dcdc4,2705,38,false,Martin Tzvetanov Grigorov,Qui 13-Mar-2014 16:07:20 +0200,2,3,11,3,14,8,7,1,5531
449e6d1c33744d66b20e7418a24f535da0fc3cf5,2113,339,false,Martin Tzvetanov Grigorov,Qui 16-Mai-2013 10:06:11 +0300,1,1,24,34,58,-10,2,1,5179
45024cec5a01373b759f3c3f2a59af69855f5b42,2563,79,false,Martin Tzvetanov Grigorov,Sex 31-Jan-2014 14:08:28 +0100,1,1,5,4,9,1,3,1,0
463e6039a360f7e1088ba4f64cef9aab04f84766,2499,121,false,Martin Tzvetanov Grigorov,Sex 20-Dez-2013 12:09:58 +0200,1,2,6,0,6,6,2,1,663
46651a4521167e786ca2b41523588fe5a1d21075,2224,303,false,Martin Tzvetanov Grigorov,Sex 21-Jun-2013 15:27:42 +0200,41,116,289,289,578,0,181,1,0
46b99bd34089f76bc924e877bde5f973575062b3,2540,93,false,Martin Tzvetanov Grigorov,Sex 17-Jan-2014 13:45:17 +0200,3,3,54,11,65,43,6,1,4744
46d768cc2def47c358248bfc7d0afc0b54f36412,2480,124,true,Martin Tzvetanov Grigorov,Ter 17-Dez-2013 12:25:11 +0200,3,3,143,2,145,141,6,1,5429
46f1835d67fa94392007e8b07c91f218cf954433,2083,353,false,Martin Tzvetanov Grigorov,Qui 02-Mai-2013 17:24:41 +0200,3,3,26,10,36,16,5,1,4934
47e3b9870b65a86977047691264e39099ef577fa,2358,209,false,Martin Tzvetanov Grigorov,Seg 23-Set-2013 13:47:15 +0200,1,1,2,2,4,0,1,1,0
484415796aab76fc4f635b375cbf2b0cd604457f,2410,159,false,Martin Tzvetanov Grigorov,Ter 12-Nov-2013 10:32:02 +0200,1,3,50,3,53,47,3,1,5411
4869f24da043b00f0f7d5bd2eea5b9d85aac8d42,357,52,true,svenmeier,Qui 27-Fev-2014 16:49:07 +0100,1,1,18,18,36,0,2,1,5521
4950a773dc7e3d286c67cdc4611f3b9bd2b060af,10,570,false,Michael Mosmann,Qui 27-Set-2012 00:57:12 +0200,1,5,222,85,307,137,11,1,0
4ab506431371e78ee5d1f5000200c74f89a97a94,301,255,true,svenmeier,Qui 08-Ago-2013 12:25:08 +0200,1,1,20,5,25,15,2,1,5309
4c43ad591c86e26d7b8dd7a3e82913313e7e7fa0,2092,349,false,Martin Tzvetanov Grigorov,Seg 06-Mai-2013 14:13:33 +0300,1,2,3,6,9,-3,4,1,4852
4cfea09f089f7e1ae859e2bc0be560666409ec7d,2370,206,false,Martin Tzvetanov Grigorov,Qui 26-Set-2013 16:47:10 +0200,1,1,3,3,6,0,3,1,0
4f9aa2d95ff064d81c49229b3c94d9c6a959cd36,2530,95,true,Martin Tzvetanov Grigorov,Qua 15-Jan-2014 12:02:00 +0200,2,2,13,2,15,11,2,1,5468
53d9fae5d9886bce65c5e6f360a4294791bd762a,129,249,true,Emond Papegaaij,Qua 14-Ago-2013 14:18:49 +0200,1,1,45,25,70,20,4,1,5316
54a35055cbff4c0f57317277821f9ef1f425e1a1,2692,39,false,Martin Tzvetanov Grigorov,Qua 12-Mar-2014 11:49:26 +0200,1,1,1,17,18,-16,2,1,5531
56169634c82a58b2dc5c071fb8f1e80a531eaf56,2176,310,true,Martin Tzvetanov Grigorov,Sex 14-Jun-2013 16:56:29 +0300,1,2,67,1,68,66,3,1,5056
58422ac7732429d48c783cf8f5899f8764f7002b,2558,80,true,Martin Tzvetanov Grigorov,Qui 30-Jan-2014 09:47:04 +0100,1,1,2,1,3,1,1,1,5492
58daafa556ccf334bd7d03c83eab9973d83fb497,11,570,false,Michael Mosmann,Qui 27-Set-2012 01:08:45 +0200,1,1,27,29,56,-2,2,1,0
59b3e318762733adea00cfe3b31c5dd25e4d2147,2666,45,false,Martin Tzvetanov Grigorov,Qui 06-Mar-2014 10:07:21 +0200,1,1,21,21,42,0,1,1,0
