# Unchanged scenarios (UTest P-Value)
112
Name;P-Value (TTest);P-Value (UTest);AVG R1;AVG R2;N1;N2;Delta
Entry point for AsyncServletTest.testStart;0.7231304348771754;0.9397429895770734;2.157449328E8;2.162754084E8;10;10;530475.599999994
Entry point for ServletHolderTest.testTransitiveCompareTo;0.30508782406653834;0.8205958397554409;768847.4;604171.8;10;10;-164675.59999999998
Entry point for ServletContextResourcesTest.testGetResourceAsStream_Content;0.6435493743684797;0.9349253116421172;2.5550606E7;2.3897893777777776E7;10;9;-1652712.2222222239
Entry point for DispatcherTest.testIncludeThenForward;0.5098921235851086;0.7054569861112734;1.69291162E7;1.50769291E7;10;10;-1852187.0999999996
Entry point for DispatcherTest.testServletForwardEncodedDotDot;0.1612218281692822;0.11241058465536369;1.27951564E7;9180458.6;10;10;-3614697.8000000007
Entry point for ServletContextHandlerTest.testLegacyDecorator;0.6459444510835419;1.0;1.3881402857142856E7;1.466026775E7;7;8;778864.8928571437
Entry point for ServletHandlerTest.testAddFilterWithMappingIngoresDuplicateFilters2;0.3073250233800564;0.25683925795785656;4377182.2;4740375.5;10;10;363193.2999999998
Entry point for AsyncContextListenersTest.testListenerAddedFromListener;0.9023798505741233;1.0;2.97819862E7;3.01107909E7;10;10;328804.69999999925
Entry point for GzipHandlerTest.testForwardGzipHandler;0.48959026507958747;0.5967012167293564;1.96137133E7;1.82127671E7;10;10;-1400946.1999999993
Entry point for DefaultServletTest.testIfETagLarge;0.30752137553053516;0.1509269500667162;3.78106361E7;4.22515429E7;10;10;4440906.799999997
Entry point for AsyncServletTest.testStartWaitComplete;0.9662561603451303;0.8205958397554409;5.90261287E7;5.89662256E7;10;10;-59903.10000000149
Entry point for AsyncContextTest.testSimpleWithContextAsyncContext;0.9579222646070883;0.11241058465536369;3722231.4;3753411.1;10;10;31179.700000000186
Entry point for DefaultServletTest.testGzip;0.7213967441946092;0.7623688184698398;4.97287262E7;4.87225575E7;10;10;-1006168.700000003
Entry point for DefaultServletTest.testIfModifiedSmall;0.5766807140784813;0.6055766163353464;2.8895290833333332E7;2.6904710333333332E7;6;3;-1990580.5
Entry point for DefaultServletRangesTest.testSingleRangeRequests;0.3816836858899707;0.4056788952850532;7396837.9;8223935.4;10;10;827097.5
Entry point for EncodedURITest.testAsyncFilterWrapTestServlet;0.9190533240633282;0.7623688184698398;8185213.4;8038448.1;10;10;-146765.30000000075
Entry point for AsyncServletTest.testFwdStartDispatchPath;0.9676470216041781;1.0;3.06380264E7;3.05701375E7;10;10;-67888.89999999851
Entry point for AsyncContextTest.testSimpleAsyncContext;0.06474798239915407;0.17361733442494343;1.08841041E7;1.45944568E7;10;10;3710352.700000001
Entry point for ResponseHeadersTest.testMultilineResponseHeaderValue;0.8148574761321385;0.45291248342491675;2.9889840222222224E7;3.0761356111111112E7;9;9;871515.8888888881
Entry point for AsyncServletTest.testStartTimeoutStartComplete;0.3895512773146853;0.17361733442494343;2.92763673E7;3.04829404E7;10;10;1206573.0999999978
Entry point for DefaultServletTest.testListingXSS;0.6433394556984644;0.28991845394256965;1.07897278E7;1.20764892E7;10;10;1286761.3999999985
Entry point for AsyncContextTest.testStartDispatchThrow;0.8370572232158251;0.28991845394256965;7274268.9;6965449.1;10;10;-308819.80000000075
