# Degradated scenarios (UTest P-Value)
135
Name;P-Value (TTest);P-Value (UTest);AVG R1;AVG R2;N1;N2;Delta
Entry point for ServletHandlerTest.testAllNonProgrammaticFilterMappings;2.827000787812346E-12;1.5705228423079642E-4;5.29891966E7;1.316372661E8;10;10;7.86480695E7
Entry point for DispatcherTest.testWrappedForwardToResourceHandler;2.6918287994022702E-5;2.8511808363163027E-4;7926723.5;2.44759787E7;10;10;1.65492552E7
Entry point for AsyncContextTest.testStartFlushCompleteThrow;2.2869304119190197E-7;1.5705228423079642E-4;6740669.3;2.29170135E7;10;10;1.61763442E7
Entry point for AsyncIOServletTest.testAsyncReadIdleTimeout;4.91152137332072E-4;1.5705228423079642E-4;1.0234769539E9;1.0696802496E9;10;10;4.620329570000005E7
Entry point for DispatcherTest.testForwardFilterToRogerServlet;2.2959663985399365E-6;2.3856345402872847E-4;4.435704055555555E7;1.149671303E8;9;10;7.061008974444444E7
Entry point for AsyncServletTest.testStartComplete;1.3626471004479428E-6;2.1218287122259927E-4;6315908.7;1.96229571E7;10;10;1.3307048400000002E7
Entry point for DefaultServletRangesTest.testNoRangeRequests;2.016533806008598E-24;1.5705228423079642E-4;2.409223023E8;4.930955954E8;10;10;2.5217329309999996E8
Entry point for DefaultServletTest.testListingWithSession;2.471106576696235E-7;1.5705228423079642E-4;1.18394304E7;2.52524447E7;10;10;1.3413014299999999E7
Entry point for AsyncServletIOTest.testEmpty;0.012090666560910344;0.004071994217732744;8525603.8;1.76350678E7;10;10;9109464.0
Entry point for ServletContextHandlerTest.testAddServletAfterStart;1.8937587232378822E-4;5.065414846923133E-4;2.71352604E7;6.99026134E7;10;10;4.276735300000001E7
Entry point for ServletContextHandlerTest.testFindContainer;5.212324662431495E-4;2.1218287122259927E-4;4.25944701E7;1.249476426E8;10;10;8.23531725E7
Entry point for DefaultServletTest.testListingProperUrlEncoding;5.67583834553786E-5;1.5705228423079642E-4;1.06479238E7;3.33680234E7;10;10;2.2720099599999998E7
Entry point for ServletHandlerTest.testAddFilterWithMappingAPI;3.416648782355074E-6;2.8511808363163027E-4;1.74750435E7;2.67759438E7;10;10;9300900.3
Entry point for AsyncServletIOTest.testReadWrite;0.003827169559829834;0.008150971593502754;3.565099365E8;3.626155799E8;10;10;6105643.399999976
Entry point for ComplianceViolations2616Test.testNoColonHeader_Middle;1.0258262482813218E-12;1.5705228423079642E-4;2.156086351E8;4.568675994E8;10;10;2.4125896429999998E8
Entry point for AsyncContextTest.testDispatchAsyncContext;7.42441581373959E-5;1.5705228423079642E-4;5808302.3;2.5943488E7;10;10;2.01351857E7
Entry point for ErrorPageTest.testGlobalErrorException;6.879886382504032E-5;2.1218287122259927E-4;1.22027219E7;3.8103917E7;10;10;2.59011951E7
Entry point for ServletContextHandlerTest.testReplaceServletHandlerWithoutServlet;3.5698377710743607E-7;1.5705228423079642E-4;3.24751111E7;1.46923587E8;10;10;1.144484759E8
Entry point for AsyncContextTest.testBadExpire;4.963845182391142E-4;5.065414846923133E-4;1.118906571E8;1.239706826E8;10;10;1.20800255E7
Entry point for AsyncContextTest.testDispatchRequestResponse;1.5600847121935633E-6;1.5705228423079642E-4;1.20730654E7;4.45435549E7;10;10;3.24704895E7
Entry point for AsyncServletTest.testStartOnTimeoutComplete;1.0577698210527108E-5;1.5705228423079642E-4;2.088417642E8;2.277211779E8;10;10;1.8879413700000018E7
Entry point for GzipHandlerTest.testETagGzipHandler;2.678822179578705E-15;1.5705228423079642E-4;2.343712354E8;5.048123195E8;10;10;2.704410841E8
Entry point for AsyncServletTest.testStartWaitDispatchStartComplete;2.4890743036523984E-10;1.5705228423079642E-4;2.74335482E7;4.36978166E7;10;10;1.6264268400000002E7
Entry point for AsyncIOServletTest.testAsyncWriteThrowsError;3.6688697261015695E-5;1.5705228423079642E-4;3.63729561E7;1.093872789E8;10;10;7.301432280000001E7
Entry point for PostServletTest.testDeferredBadPost;1.311098778345688E-4;1.5705228423079642E-4;1.0302618734E9;1.0634237088E9;10;10;3.3161835399999976E7
Entry point for AsyncContextTest.testExpire;0.0014610658604717241;2.8511808363163027E-4;1.069061329E8;1.179859214E8;10;10;1.10797885E7
Entry point for DispatcherTest.testWorkingResourceHandler;0.003002647878262643;1.5705228423079642E-4;6284179.7;3.02680499E7;10;10;2.39838702E7
Entry point for DefaultServletTest.testListingContextBreakout;1.9125362863016344E-6;1.5705228423079642E-4;5.87068076E7;8.87440048E7;10;10;3.0037197199999996E7
