264
Degradation,Revision,Bug Fixing,Number of Packages,Number of Files,Number of Issues,Number of Insertions,Number of Deletions,Number of Churns,Delta of Lines,Number of Hunks,Hour of Day,Day of Week
false,19771,false,1,1,1,9,45,54,-36,3,16,1
false,19797,true,1,1,1,14,5,19,9,2,21,5
true,17979,true,4,12,1,986,117,1103,869,50,1,5
true,18232,false,1,1,1,11,18,29,-7,4,16,6
true,18234,true,4,8,2,723,52,775,671,25,22,6
true,18257,false,2,4,1,251,106,357,145,28,17,3
true,18269,true,2,7,1,330,89,419,241,34,17,5
true,18282,true,4,6,1,60,22,82,38,10,8,1
true,18321,false,1,1,1,18,11,29,7,1,19,4
true,18327,false,1,1,1,16,10,26,6,2,20,5
true,19107,false,1,1,1,34,10,44,24,3,18,4
true,19111,false,1,1,1,8,10,18,-2,3,16,5
true,19494,true,4,4,1,35,5,40,30,10,16,2
true,19496,false,3,5,1,20,11,31,9,10,20,2
true,19614,false,39,153,1,910,553,1463,357,284,12,4
